pid,side,MLE,MdLE,SDLE,MaxLE,MinLE,P90,P95,P99,RMSE,NME,SR@2mm,SR@3mm,SR@5mm,SR@10mm,MAE_x,MAE_y,MAE_z,Bias_x,Bias_y,Bias_z,Procrustes_RMSE,Procrustes_Mean,Procrustes_Median,Alignment_Gain,Centroid_Error,Scale_Ratio,Scale_Error_Pct,HRTF_Weighted_MLE,HRTF_Critical_MLE,HRTF_Critical_Max,Concha_MLE,Canal_Axis_MLE,HRTF_SR@2mm,HRTF_SR@3mm
P0001,left,4.173122422877721,3.549801282644391,1.898299380615882,8.708104062116805,1.1768671980471341,6.967508611360582,7.967581553472305,8.6674392526606,4.58459281668192,0.05103794123799046,0.07058823529411765,0.35294117647058826,0.6941176470588235,1.0,1.8274498672049637,2.5784671330862365,2.0388717451941027,0.15699532472037322,2.4151598780173464,1.595151963209931,2.7290951370537773,2.41366421016287,2.1994571523308553,0.40472464052556345,2.8986470213017435,0.9103584071785256,8.964159282147444,4.13963301729208,4.011842747397325,8.708104062116805,5.435471525527588,2.882750890097167,0.0967741935483871,0.45161290322580644
P0001,right,4.706552302811529,4.840852923809659,2.2454530960901335,8.478619867101706,0.5834441194555474,7.797778221254408,8.173588338919656,8.478596122692112,5.214757346784343,0.05807396592186152,0.15294117647058825,0.27058823529411763,0.5647058823529412,1.0,3.3909284562243087,2.1240517837032735,1.9749786025146105,3.2818016886504666,1.55941613172773,-1.585154499940898,1.751878242917038,1.604524636950163,1.5481807468416116,0.6640537370422938,3.964179080743513,0.9040186078338508,9.598139216614921,4.35733207498026,4.067063415123745,7.9605376552419,3.4966071628878077,4.210113287299157,0.25806451612903225,0.3870967741935484
P0002,left,4.163868530974714,4.2789380952740625,1.7545246539958375,8.72772670572197,0.4518320930108499,6.229910920849041,7.02993741285782,8.247378976719121,4.518424272323344,0.05338577536558169,0.10588235294117647,0.24705882352941178,0.7176470588235294,1.0,1.517350477016409,1.878323836372126,2.8536175367555705,-0.6324643588212115,-1.6906263161402701,-2.4161034026279626,3.0590112078278677,2.815299304671927,2.565598997181487,0.322991595433502,3.015921775874754,0.9700649567537017,2.9935043246298254,3.9715805797212504,4.092561172565961,8.72772670572197,5.451507328574419,1.0643683817503573,0.25806451612903225,0.45161290322580644
P0002,right,4.919314803717678,4.77326181040929,1.8285716078601588,8.505021484722223,1.101281177022298,7.587424894756844,8.145180180439219,8.425344078238565,5.248174183766025,0.06250073968909689,0.047058823529411764,0.1411764705882353,0.5647058823529412,1.0,1.9176891538285303,3.853932560571243,1.3233699599817486,-0.0911674717842663,3.803839297452724,-0.6780616424887195,2.4161718734827895,2.2014941258911187,2.1371407284474206,0.5396166764223256,3.86487677679016,0.9540851707883916,4.591482921160839,4.565601833310674,4.211163102845642,8.505021484722223,5.048704082871354,3.22151219898674,0.0967741935483871,0.22580645161290322
P0003,left,2.3553869396305256,2.4105732046590242,0.8236265299519819,4.121149890597394,0.8362026650051309,3.327394788182741,3.472633176544673,4.008754024168328,2.4952371222436547,0.03183379537674758,0.3764705882352941,0.7294117647058823,1.0,1.0,1.0701120316740143,1.5291399549993552,1.044270179345301,-0.4755258000825771,-1.3121565719540031,0.07992724983079308,1.8382179630920068,1.6781641098754896,1.6032899205870017,0.2633093077080153,1.397951365796285,1.0175249670668514,1.752496706685136,2.3180543712769803,2.2753356221467222,3.4015967665770663,2.848021397961555,1.4587559350604926,0.3870967741935484,0.8064516129032258
P0003,right,2.511914290313259,2.5367818756529905,0.8171205720110268,5.448552872578202,0.8005985172984466,3.519568890015084,3.9575489213072315,4.53786649979467,2.641476751948347,0.03498955074074206,0.27058823529411763,0.8,0.9882352941176471,1.0,1.1762324147490717,1.6895530691045748,0.992059822096618,-0.3547179383756757,-1.6472083281675038,-0.46928048435978487,1.7127005910799449,1.5619784650761537,1.4648515222123282,0.35161246838465565,1.7490981290913303,1.0357606630733402,3.576066307334025,2.4182817463520196,2.426560132107516,4.364402428788287,1.799705495920339,1.5640573228370873,0.45161290322580644,0.6451612903225806
P0004,left,2.905233452378305,2.859875345340124,0.9561779658458015,7.056646322393399,0.9971664029551436,4.0051826584477395,4.485827969296194,5.216592569644743,3.0585384933309205,0.0375389941321589,0.15294117647058825,0.5764705882352941,0.9882352941176471,1.0,1.501890594741408,1.3302680915270135,1.6635478318099277,-1.3054040334922425,0.43450994018377537,-0.9642414308388956,1.9652694304227336,1.7954753587730936,1.854779303166619,0.3574481947362417,1.6800714614928136,0.9710786153778496,2.8921384622150437,2.7333485230560433,2.593600611694721,4.3766342225477315,1.6435849411980528,2.3828029425525767,0.2903225806451613,0.6774193548387096
P0004,right,5.973707717996681,5.987038433540844,0.8761883994820842,8.37950645787298,4.075250198555831,7.212766212260282,7.55221422803208,7.892775190539062,6.037622877543785,0.07622870324219813,0.0,0.0,0.15294117647058825,1.0,2.767472554847806,4.523108728952822,1.957462168064967,-2.765514082771883,4.523108728952822,-0.4054160909934866,2.0054150680466742,1.7977949721784272,1.628306677820975,0.6678469144748407,5.3170426858147,0.947019774888662,5.298022511133804,6.158339217892029,6.384067734714932,8.37950645787298,5.444860984907291,7.4097006451893765,0.0,0.0
P0005,left,4.212503010182952,3.8329196257984957,1.786014255975231,8.792645398441913,1.1812928935412925,6.326711746615688,7.0478134888784565,8.583779829596246,4.575481235165017,0.06162346728787095,0.12941176470588237,0.29411764705882354,0.6588235294117647,1.0,2.479482153921009,1.4902215773927698,2.1654775242615574,-1.7302417555839351,0.3301173749597883,-0.9185515263638571,2.4514968945138347,2.2216322105405544,2.197006168456753,0.4642100429525986,1.9865676229622442,1.0731640561019176,7.316405610191756,3.7512228096150664,3.221579523769008,6.81678104486261,1.5453895524940808,3.2158147803773636,0.25806451612903225,0.5806451612903226
P0005,right,5.401261900517406,5.663036430939454,2.42585682157468,10.726589265766929,0.626497387955311,8.547259591444277,8.72669614258117,9.836967269268625,5.921014392548063,0.08173943156625423,0.10588235294117647,0.2,0.4235294117647059,0.9882352941176471,3.462560196941001,2.497697891113906,2.2179681051827997,-1.69181162853149,-1.9237419067093597,-1.4825494222207543,2.8269056924778746,2.5320803908047735,2.5894912132199224,0.5225639552594308,2.959892278342426,1.087542032578399,8.75420325783991,4.689112913612978,3.7960453612771157,8.368266750857321,1.8031147720777845,2.533642817365625,0.2903225806451613,0.45161290322580644
