pid,side,MLE,MdLE,SDLE,MaxLE,MinLE,P90,P95,P99,RMSE,NME,SR@2mm,SR@3mm,SR@5mm,SR@10mm,MAE_x,MAE_y,MAE_z,Bias_x,Bias_y,Bias_z,Procrustes_RMSE,Procrustes_Mean,Procrustes_Median,Alignment_Gain,Centroid_Error,Scale_Ratio,Scale_Error_Pct,HRTF_Weighted_MLE,HRTF_Critical_MLE,HRTF_Critical_Max,Concha_MLE,Canal_Axis_MLE,HRTF_SR@2mm,HRTF_SR@3mm
P0010,left,3.4138754619861658,3.509342712702535,1.0597713283636032,5.55185761415459,0.16356031526782372,4.748313126163786,5.037179806948018,5.1902262086991975,3.5745854218878046,0.0459777246806428,0.08235294117647059,0.3176470588235294,0.9411764705882353,1.0,1.5117885418275905,2.6084657997268743,1.1111951065486096,1.2653506328672992,2.313253358183479,0.13250310654559783,2.1193007987794683,1.9029792950070663,1.8203659729156563,0.40711983388525697,2.6400398475191564,0.9802293161903728,1.977068380962721,3.350494369114354,3.376306411066718,4.523739368066003,3.753976907247978,2.4857470075184454,0.03225806451612903,0.3225806451612903
P0010,right,5.797224033619156,5.433486928316989,1.8835043977666008,9.603065713436463,1.985825084044257,8.234708791155334,9.239759903026526,9.547204620086484,6.0955225626994185,0.08010451486052061,0.011764705882352941,0.058823529411764705,0.3176470588235294,1.0,1.776486478687728,3.474396939786779,3.7460590020891664,1.5758583535145667,3.3895347188617775,3.1491056956460057,2.4372445944681718,2.1857082284022065,1.9378080815228915,0.6001582195195998,4.887651976466956,1.0131324258939354,1.3132425893935373,5.362760129632746,5.094417449499669,9.603065713436463,5.299358251674048,3.3118752483355816,0.03225806451612903,0.12903225806451613
P0016,left,4.7792357888038755,4.478883453361966,2.00057228676823,8.288304035399849,1.0411144049423617,7.779936136465318,7.9443532152770375,8.239272407115669,5.181060142438888,0.06953019018345832,0.058823529411764705,0.23529411764705882,0.5529411764705883,1.0,2.9082075421180686,1.5692039108178988,2.767442057841662,2.4697795156199573,-0.28562024274726866,2.613490514481518,2.381497974055031,2.1386405451879296,1.9159603170901276,0.5403454295961869,3.607176520234045,1.0711689615590707,7.116896155907071,4.447712373558379,4.207172134640383,8.107022538838226,4.141974136439694,2.3399274990873002,0.0967741935483871,0.3225806451612903
P0016,right,4.0564400046197555,4.095546900144664,1.6414227869765567,6.967365561571898,0.9643868724115991,6.1064648346579755,6.505821280538872,6.679264782449244,4.375954099014912,0.06002043868791507,0.12941176470588237,0.3058823529411765,0.6588235294117647,1.0,1.5000537798653957,2.65186304277236,1.8640432040820922,0.2798099195464399,2.5849344308249913,1.1477546384187711,2.3413748376405503,2.0818568758506677,1.9405418705079571,0.46494529316152544,2.84209787177585,1.1018844259866951,10.18844259866951,4.219583198671606,4.341046656978013,6.967365561571898,3.0735250334057227,5.987723600706525,0.06451612903225806,0.2903225806451613
P0017,left,3.468660543190905,3.6662385480127764,1.5490444599098858,6.535237017205528,0.6085133277114851,5.630238875011104,6.135657917439049,6.483794934294419,3.7988346506089123,0.04371283233901471,0.21176470588235294,0.36470588235294116,0.8235294117647058,1.0,1.4932811028742203,1.1198428517237673,2.603193787674154,-0.7796154192775575,0.9460178971322145,-1.7491835331380212,2.1137668879479325,1.8914515236418754,1.823321863565772,0.4435749164408943,2.1359759119126362,0.9125230854351536,8.747691456484642,3.1595846625666257,2.9988282489778344,5.7253397861700055,3.659584313255221,0.8371971967443729,0.3870967741935484,0.3870967741935484
P0017,right,4.089879631783053,3.7458828301574822,1.4548581163597691,7.832837703781474,1.2536950795654542,6.140231576278498,6.542587246090783,7.76476214472392,4.340936251687161,0.05249297211707015,0.03529411764705882,0.2235294117647059,0.7411764705882353,1.0,1.0569734610390524,2.4678242203056335,2.479762015052481,-0.22049198803169,2.4678242203056335,-1.2156264528295446,2.121037957670698,1.9993989086106156,1.9532543675865366,0.5113869832118663,2.759804480743565,0.910357219439962,8.964278056003804,4.110692193154794,3.8353272557221216,6.484016198813614,2.715321011229356,5.354154792359421,0.06451612903225806,0.41935483870967744
P0023,left,5.969760641677943,6.121736649387293,1.058378895687507,8.140667823846732,3.368890236300889,7.253411988876804,7.512767792774546,7.8558834635121695,6.062854773599954,0.08084649124459853,0.0,0.0,0.17647058823529413,1.0,1.4759230352527688,5.216271008793615,1.4577570462141451,1.0204460328582057,-5.216271008793615,0.42322997998110073,2.510871426774271,2.201014759771293,1.9513549415976668,0.5858598761649091,5.331971207640915,0.9658167708394069,3.418322916059313,6.041276722734783,6.277530788568749,8.140667823846732,6.392385063580174,4.557544811517085,0.0,0.0
P0023,right,4.9132123018229,4.994065894504192,1.3297029366627442,8.017646958340716,1.5525897670590856,6.634803581911199,7.057246983660359,7.6603490268637096,5.089967094447016,0.06523759787759073,0.023529411764705882,0.11764705882352941,0.5058823529411764,1.0,2.3155821289900396,3.327143392523899,1.6325878798915112,2.0777302543875136,3.327143392523899,0.2943374808801056,2.649727987293495,2.328708037981671,2.0036446172110978,0.47942139151897434,3.933634542895862,0.9637043629014006,3.62956370985994,4.864965907648175,4.909422016863995,8.017646958340716,7.135559523115524,2.3991126823846103,0.03225806451612903,0.22580645161290322
P0036,left,4.029972262582952,3.919468890676264,1.6285188104116728,8.278654248286367,0.5265490657314893,6.20527144758026,7.108836081594929,8.172577856858117,4.346579109259672,0.0516492862987581,0.08235294117647059,0.3176470588235294,0.7647058823529411,1.0,2.8140321643457873,1.263969535399689,1.622258817401692,-1.9712824484159142,0.9473000974486487,-0.03066431390835947,2.2905512387846256,2.088776828654245,1.8389742369517477,0.47302207525631246,2.187297937229033,0.9294836813272545,7.051631867274555,3.687176776179899,3.161640390546371,4.593633097529514,4.118759649412887,2.447561148623397,0.0967741935483871,0.4838709677419355
P0036,right,8.037480454735375,8.130165438515736,1.5595495319655508,10.876400949892211,3.0468963696816247,9.73011258864437,9.906726469291222,10.367732954736695,8.187385834496084,0.10296857118644023,0.0,0.0,0.047058823529411764,0.9647058823529412,2.7079740236445318,7.029890914743334,1.6227843973705296,-1.2668370287028472,7.029890914743334,-1.308307080970085,2.6865874157470846,2.4220604422549235,2.078242573503377,0.671862610359119,7.261949445472613,0.9345727055799528,6.542729442004724,7.648572510999724,7.162079037131972,9.654382222244433,8.752582910764254,6.57708571325379,0.0,0.0
